,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
26,82174.0,4.0,7.0,2.0,38854.0,1125692.507295288,"3599 Ramirez Springs
Jacksonhaven, AZ 72798"
27,64627.0,5.0,7.0,4.0,27785.0,975429.4927929222,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
28,90499.0,6.0,4.0,3.0,33970.0,1240763.765571478,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
29,59324.0,7.0,8.0,4.0,37521.0,1577017.7600015546,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
30,77812.0,5.0,7.0,3.0,33755.0,1246830.1884286287,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224"
31,68653.0,6.0,6.0,4.0,39356.0,1170720.893654292,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110"
32,55041.0,7.0,9.0,5.0,30122.0,1071279.210244544,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041"
33,50219.0,6.0,7.0,6.0,16811.0,534305.1323349292,"039 Jordan Pike
Emilyville, ID 27442"
34,55909.0,5.0,9.0,6.0,22355.0,936368.9634048606,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766"
35,74373.0,6.0,7.0,2.0,39395.0,1199193.8313295112,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
36,78668.0,5.0,8.0,4.0,27638.0,1233220.009477811,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585"
37,78700.0,6.0,7.0,3.0,22837.0,1081150.1254838074,"7585 Lynn Loop
East Judy, WV 73336"
38,53128.0,5.0,5.0,2.0,32948.0,524712.7660674525,"Unit 1388 Box 9350
DPO AP 70848"
39,17797.0,5.0,7.0,2.0,47162.0,302355.83597895555,"9932 Eric Circles
Lake Martha, WY 34611-6127"
40,58567.0,7.0,5.0,2.0,39705.0,1026817.399788458,"7896 Walker Spring
Loriport, MH 72956"
41,75538.0,8.0,8.0,6.0,32778.0,1762214.6795818857,"549 Darren Plaza
Lake Kevin, UT 27155"
42,46147.0,7.0,8.0,4.0,27161.0,882057.1705928424,"90634 Michelle Valleys
North Victoria, WV 99370"
43,70421.0,7.0,8.0,4.0,43184.0,1744932.210990927,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
44,62614.0,5.0,7.0,6.0,26889.0,1153871.4695016337,"43087 Jerome Field
West Deborah, SD 49213"
45,66395.0,7.0,7.0,3.0,39741.0,1499988.8795226102,"71956 Jenkins Fall
Brooketown, PW 67485-0764"
46,73947.0,5.0,8.0,6.0,35261.0,1109588.380162506,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027"
47,69145.0,7.0,6.0,3.0,19031.0,980177.3051371257,"Unit 8108 Box 5159
DPO AP 04678"
48,77279.0,6.0,7.0,2.0,21726.0,1323952.027425176,"08639 Garcia Port
Anthonybury, CT 17971"
49,86754.0,7.0,6.0,4.0,43017.0,1662494.7355443896,"91863 Curtis Point
New Richard, AK 99996-7554"
50,74400.0,6.0,7.0,6.0,41085.0,1417819.740218086,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656"
51,49408.0,6.0,6.0,3.0,26881.0,549976.1455595789,"7796 Joseph Burg
Danielsside, RI 70370"
52,62280.0,6.0,6.0,4.0,35264.0,1054770.980647526,"173 Mendoza Land
West John, NJ 57690"
53,73078.0,6.0,6.0,3.0,54916.0,1415647.553437237,"3288 Lee Pass
South Julieton, PW 02759-4964"
54,72943.0,5.0,7.0,6.0,24378.0,948788.2757094484,"86908 Marshall Port Suite 252
Scotttown, NM 69143"
55,63820.0,6.0,8.0,4.0,27826.0,1159596.518619623,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266"
56,73265.0,8.0,7.0,3.0,21031.0,1547133.3964004475,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754"
57,68488.0,6.0,7.0,5.0,18268.0,1186688.505938349,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955"
58,55194.0,7.0,5.0,4.0,32538.0,772111.9721021006,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699"
59,77435.0,6.0,5.0,3.0,36252.0,1172730.1557693179,"4872 Delgado Ramp
North James, IA 36544"
60,66159.0,4.0,7.0,2.0,37099.0,1111085.0168910609,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536"
61,60503.0,8.0,6.0,4.0,33580.0,1022781.1707429123,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884"
62,60911.0,6.0,7.0,4.0,43348.0,1274474.5458934947,"PSC 9354, Box 0703
APO AA 58696-1278"
63,73932.0,6.0,5.0,4.0,36543.0,1213530.8498658694,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847"
64,59540.0,6.0,7.0,5.0,58601.0,1411730.4772588315,"122 Russo Neck
South Kevin, KY 20712-5282"
65,56548.0,5.0,7.0,3.0,37585.0,858685.5659249562,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460"
66,65950.0,5.0,7.0,3.0,40111.0,1200961.8209226294,"7125 Mullins Cliff
Maryborough, WY 66971"
67,74533.0,7.0,6.0,4.0,49482.0,1520234.2293774572,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319"
68,66423.0,7.0,7.0,6.0,31019.0,1360908.3196200058,"61090 Griffith Ridges
Craigstad, AK 28807-8602"
69,74334.0,5.0,6.0,4.0,41640.0,1360920.5303860817,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483"
70,63538.0,5.0,7.0,3.0,43282.0,1146532.4547405615,"10973 Clark Trafficway
Meyersbury, LA 63237"
71,83953.0,7.0,7.0,3.0,37283.0,1789098.5206914945,"91733 Baker Orchard
South Kyle, KS 37301"
72,57279.0,5.0,7.0,3.0,44024.0,852099.4640268538,"024 William Course
East Charlotteview, DE 69073-3104"
73,56554.0,6.0,7.0,3.0,29682.0,746096.728900488,"PSC 4455, Box 3268
APO AP 45454"
74,75796.0,6.0,7.0,6.0,33198.0,1534479.906564421,"562 Brown Junction Suite 282
Christopherborough, KS 20719"
75,70849.0,5.0,7.0,3.0,40459.0,1215608.5310559657,"USCGC Thompson
FPO AA 13237-3887"
76,59787.0,6.0,7.0,3.0,32402.0,941594.3284107696,"65884 Johns Valley Apt. 621
Ethanbury, NY 07783"
77,64826.0,4.0,8.0,4.0,60286.0,1204598.0374631258,"Unit 2139 Box 3667
DPO AP 49517"
78,65926.0,8.0,7.0,3.0,34171.0,1597655.2584122843,"253 Golden Island
East Donald, CT 91882"
79,64419.0,7.0,9.0,6.0,39318.0,1492011.4958621287,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205"
80,58544.0,9.0,7.0,4.0,30866.0,1421216.5044408585,"5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398"
81,68792.0,5.0,7.0,4.0,48423.0,1132522.9012947134,"2833 Townsend Cliffs
New Tommy, MP 86130-3426"
82,82062.0,4.0,6.0,4.0,36271.0,1102821.4381808082,"708 Pena Ramp
Terryburgh, CA 31572-1304"
83,80660.0,5.0,7.0,6.0,52947.0,1856211.350359604,"8030 Ruiz Dale
Shermanchester, KY 56950-5684"
84,66668.0,6.0,8.0,3.0,47075.0,1687998.9329604746,"Unit 3857 Box 9497
DPO AE 92239"
85,64722.0,6.0,7.0,4.0,36116.0,1063423.0072648665,"042 Mitchell Mountains
Adamsview, OR 44424"
86,65200.0,6.0,7.0,3.0,28366.0,1177289.88620479,"07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759"
87,74580.0,5.0,6.0,3.0,42806.0,1173474.3788373224,"38449 Shaw Glen
Pattonside, TX 98415"
88,76274.0,8.0,5.0,3.0,46975.0,1637259.9986677852,"82387 Hensley Bypass
Danielmouth, ME 30791"
89,67562.0,5.0,8.0,4.0,35518.0,1238938.2905319994,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688"
90,48905.0,5.0,5.0,3.0,32961.0,201898.08657249613,"2124 Garcia Viaduct
North Kellytown, DC 30864"
91,72146.0,6.0,8.0,6.0,28883.0,1439506.1015570092,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708"
92,70806.0,4.0,6.0,3.0,29269.0,585608.6326222321,"874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448"
93,65383.0,8.0,7.0,3.0,35114.0,1294685.1585470121,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159"
94,95450.0,7.0,7.0,3.0,39389.0,2014851.344161515,"035 Mark Bridge
West Craig, MT 78649"
95,73699.0,6.0,7.0,4.0,51815.0,1840236.0058026887,"69600 Wilson Rue
Elizabethland, PW 17767-2884"
96,66264.0,6.0,7.0,4.0,49830.0,1441421.912993609,"001 Steve Plaza
Jessicastad, UT 25190"
97,75395.0,7.0,8.0,4.0,22268.0,1498640.5506503703,"238 Anthony Drive
Acostahaven, AS 62753-6637"
98,65985.0,7.0,6.0,2.0,21867.0,954746.5764328244,"01818 Wilson Spurs
West Andreaton, SD 69568-7005"
99,66477.0,7.0,6.0,2.0,32459.0,1124635.9316285902,"95779 Walton Square
Bakershire, PR 49599"
100,69284.0,5.0,7.0,3.0,40283.0,1169944.2477587468,"124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969"
101,70404.0,6.0,6.0,2.0,37128.0,1114430.95342313,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246"
102,74218.0,8.0,7.0,4.0,46771.0,1783534.8388273641,"106 Williams Well Apt. 657
Samanthaview, PR 87811"
103,63442.0,6.0,7.0,3.0,48062.0,1302933.2475692779,"Unit 3405 Box 4348
DPO AP 68816-2990"
104,57494.0,7.0,7.0,4.0,47039.0,1241483.6118732512,"4007 Kimberly Crossing
Nathanielview, NC 72093-8287"
105,81544.0,6.0,6.0,2.0,9816.0,954114.5439535476,"Unit 5889 Box 7282
DPO AE 41177-0399"
106,78634.0,5.0,8.0,3.0,43729.0,1555320.5000011197,"075 Andrea Green Suite 201
Johnshire, KS 50389"
107,52203.0,5.0,4.0,2.0,42166.0,404976.365896227,"6811 Spears Trail Suite 081
East Troy, MS 43910"
108,67980.0,6.0,6.0,2.0,25909.0,1073183.759841627,"69401 Danielle Motorway
New Dennis, IL 53971"
109,78568.0,5.0,6.0,2.0,41017.0,1422195.8794505682,"2276 Riley Flats Suite 975
Johnmouth, NH 39983"
110,55473.0,5.0,6.0,3.0,15354.0,340605.2113124609,"91111 Crane Spur
Kathleenmouth, ME 43022-3191"
111,67579.0,6.0,8.0,6.0,21763.0,1170959.5262846122,"744 Hill Ports
Mooreside, MH 20945-2825"
112,61456.0,7.0,6.0,4.0,30821.0,942838.1647218134,"019 Lisa Village Apt. 379
Maxwellmouth, DE 26176"
113,60815.0,7.0,8.0,4.0,31234.0,1401613.9197693218,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788"
114,51217.0,5.0,9.0,3.0,47089.0,1175504.48633204,"USS Harrington
FPO AE 12326"
115,63028.0,5.0,6.0,2.0,35992.0,608794.2466921951,"246 Michele Lock Suite 093
South Michellemouth, VI 62800"
116,62485.0,6.0,7.0,5.0,26883.0,946943.0362171356,"356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243"
117,73923.0,7.0,7.0,6.0,58745.0,1819900.6366437143,"232 Allen Ridge
West Jasonview, CT 93021"
118,79738.0,7.0,7.0,2.0,28307.0,1463130.2729789368,"5042 Ricky Road
New Candice, MN 40661-8809"
119,63890.0,5.0,8.0,5.0,43416.0,1252391.1798421678,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346"
120,67310.0,7.0,8.0,5.0,43311.0,1714445.1746365826,"89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307"
121,73146.0,4.0,7.0,3.0,49463.0,1291759.392660681,"8533 Sparks Lodge
New Kevin, GA 98179"
122,86924.0,7.0,8.0,6.0,28719.0,1809154.2893631738,"922 Mark Lodge
Matthewton, ID 71131-3139"
123,74384.0,7.0,5.0,2.0,17117.0,1200539.361167783,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985"
124,67478.0,7.0,8.0,5.0,29764.0,1300265.2104154662,"PSC 8479, Box 0952
APO AA 33741"
125,71203.0,4.0,7.0,4.0,34207.0,997448.7280769936,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463"
126,85845.0,7.0,9.0,3.0,46478.0,2152959.4089430883,"255 Sosa Pines Suite 751
Wilsonview, MT 31615"
127,72139.0,7.0,8.0,5.0,35800.0,1629983.8467032425,"156 Conner Lane
East Brittany, MI 26733"
128,44806.0,4.0,5.0,3.0,57391.0,497579.4465868728,"478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408"
129,67504.0,5.0,6.0,4.0,37441.0,890112.5493178923,"67610 Smith Knolls
Brendaberg, MA 55188-7972"
130,74706.0,5.0,6.0,2.0,39681.0,1064685.698733535,"504 Robertson Streets
Jamesshire, WA 56754"
131,68898.0,7.0,8.0,6.0,39516.0,1530124.0163168954,"777 Ross Crossroad
Kaiserville, RI 24445"
132,58118.0,8.0,6.0,4.0,35598.0,1246246.8277597644,"2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408"
133,77643.0,6.0,5.0,4.0,35512.0,1240754.932046382,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552"
134,67770.0,8.0,7.0,4.0,33255.0,1760734.6903640141,"26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101"
135,74411.0,6.0,7.0,6.0,43538.0,1393746.760467427,"4930 James Flats
New Shannon, NJ 75829-8040"
136,73101.0,4.0,9.0,4.0,29498.0,1172385.8977045629,"78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682"
137,58708.0,5.0,6.0,4.0,15970.0,483986.10899252974,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758"
138,63876.0,7.0,7.0,3.0,38053.0,1388530.1566836066,"49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904"
139,68343.0,6.0,8.0,6.0,40654.0,1721739.3841384957,"4746 Morgan Forge
Diaztown, VT 79978"
140,73065.0,6.0,7.0,6.0,30699.0,1276448.7920429741,"5808 Burton Viaduct
North Nicholasport, CO 32392-1208"
141,67367.0,7.0,7.0,2.0,32547.0,1161742.677446362,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264"
142,66547.0,6.0,5.0,2.0,16742.0,786407.9451174276,"249 Susan Canyon
North Jessica, ID 13412"
143,73314.0,6.0,8.0,4.0,37809.0,1604920.973458414,"08091 Bush Course
New Michael, RI 47524-7511"
144,47681.0,7.0,8.0,5.0,50909.0,1230149.1367864413,"PSC 6933, Box 3805
APO AP 50576"
145,67911.0,6.0,7.0,4.0,31380.0,1051644.5540225492,"6798 Smith Junctions
Wolfeton, WY 86565-5079"
146,69278.0,6.0,8.0,5.0,43718.0,1415073.6141811854,"256 Sanchez Ports Apt. 057
Johnmouth, PA 69763"
147,67947.0,5.0,6.0,3.0,35198.0,1043483.9151320348,"68672 Guzman Ridge
Clinefurt, WI 04078-6179"
148,90975.0,5.0,8.0,6.0,44426.0,1544379.7477356796,"4447 Steven River Suite 076
West Karenmouth, DC 61561-8593"
149,61886.0,5.0,7.0,3.0,48727.0,1352135.9672641808,"USCGC Hess
FPO AE 29193"
150,69402.0,7.0,8.0,3.0,29293.0,1505727.4308014044,"0617 Neal Curve
South Daniel, AS 09326"
151,72969.0,6.0,8.0,4.0,31756.0,1416965.9786882403,"412 Janet Radial Suite 115
Kariview, NY 37073-8343"
152,75582.0,6.0,7.0,4.0,31946.0,1046721.9761732472,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399"
153,56241.0,6.0,7.0,2.0,32745.0,939040.0035601156,"3062 Donald Inlet Suite 642
West Matthew, GU 49340"
154,79413.0,6.0,7.0,3.0,17569.0,1383031.332366437,"764 Timothy Turnpike
North Audreymouth, TX 02395"
155,79618.0,5.0,7.0,3.0,29637.0,1072503.237943672,"862 Ryan Flat
West Larryborough, WV 11517"
156,67019.0,6.0,7.0,6.0,24997.0,1134397.7577153658,"378 Evans Crest
East Shelbystad, HI 23326"
157,56063.0,5.0,5.0,4.0,39129.0,734827.50801229,"09897 Katherine Forge
North Johnside, NC 01211"
158,57078.0,6.0,7.0,4.0,33394.0,991892.3174842466,"2367 Noah Center
North Dakotashire, PA 99619-0890"
159,75955.0,4.0,7.0,5.0,34468.0,1057252.5826211006,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647"
160,52576.0,7.0,7.0,4.0,41829.0,1237224.8587518162,"8803 Jackson Ramp
South Thomasland, RI 09631-6361"
161,63313.0,6.0,8.0,4.0,43230.0,1442632.5412265589,"87629 Shawn Crossing
North William, MN 71601-6188"
162,82527.0,6.0,8.0,4.0,43948.0,1877402.3197269463,"2574 Shannon Alley
South Fred, OR 64217"
163,73205.0,7.0,7.0,6.0,35091.0,1394518.4154676315,"676 Jose Locks Apt. 415
South Cynthia, SC 89264"
164,56357.0,6.0,5.0,3.0,38062.0,953939.3299056444,"4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160"
165,71317.0,7.0,7.0,5.0,21652.0,1219778.0342015522,"26847 Weber Ports Apt. 767
North Robinton, FM 43014"
166,75047.0,5.0,9.0,3.0,32468.0,1287325.381856674,"PSC 8891, Box 6475
APO AP 28726-5123"
167,84474.0,7.0,6.0,2.0,38678.0,1739893.5550495968,"623 Jackson Road Apt. 492
Sarahville, NM 19973"
168,68163.0,7.0,7.0,3.0,31844.0,1213382.2226364696,"0575 Edward Cliff
Miguelmouth, NY 06408"
169,62784.0,8.0,5.0,3.0,35122.0,1007478.7484311544,"6660 Alex Park
Barkerfort, WY 52781"
170,67010.0,7.0,8.0,3.0,39737.0,1528756.1261500276,"176 Parker Grove Apt. 591
Nicoleshire, MO 83183-5326"
171,67437.0,7.0,7.0,2.0,29356.0,1182459.7716636744,"203 Amy Ford Suite 158
Kelleyfurt, LA 49990-9626"
172,65968.0,7.0,8.0,3.0,35800.0,1474546.7621461137,"842 Jackson Parkway
Angelabury, MI 68188-8699"
173,42816.0,8.0,7.0,4.0,47458.0,1078016.9396491002,"5339 Charles Road Apt. 570
East Angelicastad, PR 36295-7649"
174,83348.0,5.0,5.0,3.0,48227.0,1453381.624303107,"0647 Ramirez Hill
New Crystalport, AZ 33060"
175,81700.0,5.0,6.0,4.0,39527.0,1495012.9648340766,"4233 Chase Fields
East Vanessabury, OR 85375-7861"
176,56144.0,5.0,7.0,4.0,45084.0,714148.4147529015,"0606 Ricardo Drive
Williamton, GU 79243"
177,59514.0,5.0,6.0,3.0,44162.0,894292.0474101036,"14157 Jones Parkway Suite 319
North Haley, AK 18534"
178,78379.0,6.0,6.0,3.0,31357.0,1159841.8313392492,"2579 Pamela Shoals
North Christianhaven, TX 95259"
179,70877.0,7.0,7.0,5.0,36033.0,1195986.2988348743,"PSC 5171, Box 6452
APO AA 44610-4655"
180,61527.0,7.0,9.0,6.0,27308.0,1381430.630188794,"23682 William Glens Apt. 920
Lake Hollystad, CO 20067"
181,65317.0,7.0,7.0,2.0,55799.0,1534889.8534666563,"32521 Martinez Highway
Stephaniehaven, NY 78577"
182,76269.0,7.0,6.0,3.0,38650.0,1494125.3298718815,"9109 Omar View Suite 461
East Sarahfort, WI 02969"
183,48531.0,7.0,9.0,5.0,39731.0,1356146.2608426227,"5611 Chandler Mill
East Brianfort, AK 51236-0093"
184,82907.0,6.0,6.0,4.0,38820.0,1454943.0736612403,"PSC 5599, Box 5942
APO AP 55563-1953"
185,63118.0,5.0,6.0,2.0,43092.0,774118.1878354995,"2128 Shawna Orchard Suite 992
New Melissabury, MN 22338"
186,75861.0,4.0,5.0,3.0,41004.0,889113.2388612495,"019 Moore Center Apt. 643
West John, KY 54923"
187,68845.0,5.0,7.0,3.0,48392.0,1211102.210889241,"Unit 3192 Box 6415
DPO AP 76779-7624"
188,52446.0,6.0,7.0,3.0,32935.0,658646.1847265189,"20185 Mary Crest
South Reneeville, VI 91892"
189,69343.0,6.0,8.0,3.0,37082.0,1400104.8707602615,"18067 Williams Roads Suite 683
South Christineton, CO 76227"
190,55932.0,7.0,6.0,4.0,42488.0,1262017.792059947,"089 Wilson Forks Suite 185
East Gina, PA 98785-6132"
191,53307.0,5.0,6.0,2.0,39063.0,553077.2126120757,"9643 Oscar Valley
North Richardstad, ME 14629-9980"
192,56977.0,6.0,7.0,3.0,46376.0,1203247.8901339215,"46619 Morgan Squares
Stevenfurt, FM 70548"
193,51296.0,6.0,8.0,6.0,32079.0,1115323.0148424057,"407 Silva Inlet Apt. 301
East Carolmouth, SC 73414"
194,63995.0,8.0,7.0,5.0,24748.0,1301881.416528581,"USCGC Friedman
FPO AE 57606-0743"
195,71915.0,6.0,6.0,4.0,27714.0,1006687.3871388726,"038 Anderson Club Suite 485
Richardsonfort, MA 22267"
196,62138.0,5.0,7.0,5.0,19046.0,749383.0725554076,"014 Shaun Gardens
Lake Todd, HI 08110"
197,78051.0,5.0,6.0,4.0,27790.0,1075596.5865851988,"2606 Stout Inlet
Port Brenda, SC 59596-5906"
198,67371.0,5.0,7.0,4.0,24798.0,739870.7936402658,"94952 Hall Cliffs Suite 366
West Jessica, MT 23902"
199,59363.0,7.0,8.0,3.0,44723.0,1442945.1449720778,"8581 Johnson Ranch Apt. 905
Jacquelinefurt, MH 08716-8228"
200,57003.0,7.0,6.0,3.0,29595.0,828497.0670960692,"089 Jessica Dale
West Melissa, PW 59364"
201,68989.0,6.0,8.0,6.0,32630.0,1373290.8607785418,"USNS Hamilton
FPO AA 90003"
202,70970.0,5.0,6.0,3.0,24834.0,925566.331316076,"8016 Hicks Alley Apt. 735
Nicoleside, WV 73615-4795"
203,82252.0,8.0,8.0,6.0,18409.0,1552536.7639745462,"04952 Michael Terrace Apt. 414
Port Tammy, GA 56924-1868"
204,71306.0,6.0,7.0,2.0,43284.0,1335904.5009155408,"3890 Hunt Trail
Davidhaven, OR 04793"
205,70922.0,6.0,6.0,3.0,29390.0,960808.291081754,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814"
206,70739.0,7.0,7.0,6.0,35149.0,1405933.0186992486,"67095 Jeffrey Islands Suite 573
West Elizabeth, MI 33061-9433"
207,58098.0,6.0,6.0,3.0,19903.0,619087.6936175337,"31995 Moore Brook
New Melissa, MO 19787"
208,51274.0,7.0,7.0,2.0,53812.0,1329273.2276498622,"Unit 5683 Box 5483
DPO AA 78774-2982"
209,76327.0,5.0,5.0,3.0,42780.0,1261843.8443217382,"77194 Carlson Causeway Apt. 904
West John, KY 70976"
210,63584.0,6.0,6.0,4.0,46340.0,1175781.4175700566,"73601 Donaldson Squares
Port John, VI 73473"
211,86340.0,5.0,6.0,3.0,35631.0,1437053.5572016188,"6864 Michelle Field Apt. 339
Madisonmouth, KY 99033"
212,79471.0,6.0,8.0,6.0,36616.0,1594415.2262912185,"35165 Haley Falls Suite 341
South Elizabeth, VT 29143-4442"
213,55880.0,6.0,5.0,2.0,37360.0,931357.9954219257,"54993 James Place Suite 797
South Kenneth, CA 86457-1211"
214,40504.0,7.0,7.0,3.0,45979.0,798639.6541779223,"6799 Downs Plaza
Randallberg, NH 17910-5241"
215,83394.0,6.0,6.0,2.0,30488.0,1451739.624652712,"79098 Brandon Island Suite 624
Horneshire, MA 35281-8110"
216,64501.0,6.0,7.0,5.0,43869.0,1278991.6886996122,"8173 Rush Wells
New Stephanie, MS 56356"
217,59570.0,6.0,7.0,4.0,31295.0,885920.553249364,"762 Corey Landing Suite 528
Billymouth, AZ 48958"
218,69280.0,7.0,7.0,4.0,40291.0,1425632.5419741997,"077 Laura Curve
New Christopherview, AZ 15138"
219,66342.0,6.0,7.0,3.0,11793.0,901881.7426862385,"5342 Dean Overpass
Matthewville, MI 08613"
220,73367.0,6.0,9.0,5.0,23685.0,1521730.791403271,"469 William Shore Suite 726
South Krystalchester, MP 47720"
221,57122.0,6.0,6.0,2.0,41973.0,716771.0057488753,"566 Brown Grove Apt. 886
Cardenasmouth, IN 87042-1285"
222,61979.0,8.0,8.0,5.0,56957.0,1696717.1072993656,"017 Bowers Field
Williamsstad, OK 15934-8122"
223,54300.0,7.0,7.0,2.0,39513.0,819598.0078481787,"05946 Wong Spur
Susanshire, NY 67746-2473"
224,71424.0,6.0,9.0,3.0,37243.0,1584213.95748502,"9297 Cole Highway
Patrickhaven, DC 02945-8988"
225,57353.0,8.0,6.0,4.0,16906.0,798892.5150396761,"88404 William Cape Apt. 249
Dawsonhaven, MA 21219-3496"
